ds,office,quota
2014,중부,497
2014,종로,620
2014,남대문,472
2014,서대문,648
2014,혜화,468
2014,용산,663
2014,성북,518
2014,동대문,765
2014,마포,766
2014,영등포,890
2014,성동,624
2014,동작,635
2014,광진,657
2014,서부,388
2014,강북,621
2014,금천,534
2014,중랑,728
2014,강남,768
2014,관악,776
2014,강서,809
2014,강동,704
2014,종암,396
2014,구로,732
2014,서초,641
2014,양천,723
2014,송파,991
2014,노원,763
2014,방배,349
2014,은평,467
2014,도봉,525
2014,수서,583
2015,중부,502
2015,종로,635
2015,남대문,482
2015,서대문,657
2015,혜화,474
2015,용산,681
2015,성북,525
2015,동대문,780
2015,마포,820
2015,영등포,942
2015,성동,634
2015,동작,649
2015,광진,659
2015,서부,392
2015,강북,638
2015,금천,555
2015,중랑,737
2015,강남,778
2015,관악,830
2015,강서,861
2015,강동,711
2015,종암,403
2015,구로,746
2015,서초,652
2015,양천,734
2015,송파,1004
2015,노원,773
2015,방배,356
2015,은평,473
2015,도봉,536
2015,수서,599
2016,중부,511
2016,종로,639
2016,남대문,488
2016,서대문,654
2016,혜화,481
2016,용산,685
2016,성북,534
2016,동대문,789
2016,마포,825
2016,영등포,944
2016,성동,638
2016,동작,650
2016,광진,674
2016,서부,398
2016,강북,648
2016,금천,567
2016,중랑,736
2016,강남,781
2016,관악,834
2016,강서,864
2016,강동,722
2016,종암,409
2016,구로,721
2016,서초,672
2016,양천,749
2016,송파,1000
2016,노원,785
2016,방배,362
2016,은평,487
2016,도봉,544
2016,수서,616
2017,중부,514
2017,종로,641
2017,남대문,494
2017,서대문,659
2017,혜화,475
2017,용산,683
2017,성북,536
2017,동대문,804
2017,마포,849
2017,영등포,958
2017,성동,634
2017,동작,661
2017,광진,691
2017,서부,408
2017,강북,655
2017,금천,569
2017,중랑,747
2017,강남,802
2017,관악,848
2017,강서,895
2017,강동,733
2017,종암,408
2017,구로,735
2017,서초,685
2017,양천,765
2017,송파,1018
2017,노원,803
2017,방배,365
2017,은평,495
2017,도봉,550
2017,수서,621
2018,중부,518
2018,종로,647
2018,남대문,495
2018,서대문,665
2018,혜화,475
2018,용산,683
2018,성북,538
2018,동대문,807
2018,마포,861
2018,영등포,971
2018,성동,635
2018,동작,665
2018,광진,700
2018,서부,407
2018,강북,661
2018,금천,547
2018,중랑,748
2018,강남,824
2018,관악,888
2018,강서,920
2018,강동,743
2018,종암,409
2018,구로,743
2018,서초,706
2018,양천,765
2018,송파,1025
2018,노원,800
2018,방배,365
2018,은평,489
2018,도봉,554
2018,수서,626
2019,중부,516
2019,종로,648
2019,남대문,491
2019,서대문,663
2019,혜화,476
2019,용산,688
2019,성북,524
2019,동대문,807
2019,마포,863
2019,영등포,981
2019,성동,629
2019,동작,656
2019,광진,707
2019,서부,399
2019,강북,668
2019,금천,561
2019,중랑,753
2019,강남,846
2019,관악,901
2019,강서,917
2019,강동,747
2019,종암,404
2019,구로,733
2019,서초,710
2019,양천,758
2019,송파,1030
2019,노원,792
2019,방배,356
2019,은평,486
2019,도봉,558
2019,수서,631
2020,중부,505
2020,종로,649
2020,남대문,489
2020,서대문,670
2020,혜화,462
2020,용산,690
2020,성북,521
2020,동대문,812
2020,마포,875
2020,영등포,995
2020,성동,623
2020,동작,658
2020,광진,717
2020,서부,409
2020,강북,660
2020,금천,558
2020,중랑,749
2020,강남,860
2020,관악,904
2020,강서,924
2020,강동,742
2020,종암,403
2020,구로,727
2020,서초,720
2020,양천,750
2020,송파,1040
2020,노원,796
2020,방배,354
2020,은평,481
2020,도봉,557
2020,수서,631
2021,중부,502
2021,종로,648
2021,남대문,489
2021,서대문,672
2021,혜화,458
2021,용산,702
2021,성북,517
2021,동대문,817
2021,마포,875
2021,영등포,980
2021,성동,622
2021,동작,659
2021,광진,725
2021,서부,449
2021,강북,666
2021,금천,568
2021,중랑,754
2021,강남,880
2021,관악,894
2021,강서,923
2021,강동,753
2021,종암,401
2021,구로,740
2021,서초,739
2021,양천,744
2021,송파,1020
2021,노원,799
2021,방배,350
2021,은평,456
2021,도봉,553
2021,수서,649
