년도,지방청,경찰서,경찰관
2016년,서울,서울중부,511
2016년,서울,서울종로,639
2016년,서울,서울남대문,488
2016년,서울,서울서대문,654
2016년,서울,서울혜화,481
2016년,서울,서울용산,685
2016년,서울,서울성북,534
2016년,서울,서울동대문,789
2016년,서울,서울마포,825
2016년,서울,서울영등포,944
2016년,서울,서울성동,638
2016년,서울,서울동작,650
2016년,서울,서울광진,674
2016년,서울,서울서부,398
2016년,서울,서울강북,648
2016년,서울,서울금천,567
2016년,서울,서울중랑,736
2016년,서울,서울강남,781
2016년,서울,서울관악,834
2016년,서울,서울강서,864
2016년,서울,서울강동,722
2016년,서울,서울종암,409
2016년,서울,서울구로,721
2016년,서울,서울서초,672
2016년,서울,서울양천,749
2016년,서울,서울송파,"1,000"
2016년,서울,서울노원,785
2016년,서울,서울방배,362
2016년,서울,서울은평,487
2016년,서울,서울도봉,544
2016년,서울,서울수서,616
2016년,부산,부산중부,312
2016년,부산,부산동래,530
2016년,부산,부산영도,376
2016년,부산,부산동부,400
2016년,부산,부산진,800
2016년,부산,부산서부,354
2016년,부산,부산남부,741
2016년,부산,부산해운대,690
2016년,부산,부산사상,503
2016년,부산,부산금정,519
2016년,부산,부산사하,574
2016년,부산,부산연제,551
2016년,부산,부산강서,313
2016년,부산,부산북부,465
2016년,부산,부산기장,316
2016년,대구,대구중부,393
2016년,대구,대구동부,630
2016년,대구,대구서부,449
2016년,대구,대구남부,393
2016년,대구,대구북부,434
2016년,대구,대구수성,632
2016년,대구,대구달서,425
2016년,대구,대구성서,520
2016년,대구,대구달성,345
2016년,대구,대구강북,347
2016년,인천,인천중부,557
2016년,인천,인천남부,706
2016년,인천,인천남동,783
2016년,인천,인천부평,470
2016년,인천,인천삼산,439
2016년,인천,인천서부,627
2016년,인천,인천계양,472
2016년,인천,인천연수,419
2016년,인천,인천강화,213
2016년,광주,광주동부,368
2016년,광주,광주서부,537
2016년,광주,광주남부,359
2016년,광주,광주북부,702
2016년,광주,광주광산,548
2016년,대전,대전중부,435
2016년,대전,대전동부,455
2016년,대전,대전서부,346
2016년,대전,대전대덕,323
2016년,대전,대전둔산,413
2016년,대전,대전유성,415
2016년,울산,울산중부,543
2016년,울산,울산남부,625
2016년,울산,울산동부,372
2016년,울산,울산울주,369
2016년,경기남부,수원중부,587
2016년,경기남부,수원남부,710
2016년,경기남부,수원서부,471
2016년,경기남부,안양동안,449
2016년,경기남부,안양만안,421
2016년,경기남부,군포,385
2016년,경기남부,성남수정,478
