구분,총계,방범,"어린이
보호구역",공원·놀이터,"쓰레기
무단투기","시설안전
·화재예방",교통단속,"교통정보
수집·분석","기타
다른법령"
총 계," 85,242 "," 58,458 "," 8,478 "," 7,010 "," 1,234 "," 2,765 "," 6,147 ", 132 ," 1,018 "
종로구," 1,855 "," 1,521 ", 44 , 141 , - , 19 , 130 , - , - 
중구," 2,447 "," 1,572 ", 76 , 201 , 62 , 62 , 307 , 8 , 159 
용산구," 2,611 "," 1,934 ", 235 , 152 ,,, 290 ,,
성동구," 3,922 "," 2,720 ", 495 , 211 , 152 , 12 , 332 , - , - 
광진구," 3,214 "," 2,269 ", 625 , 152 , 67 , 24 , 77 , - , - 
동대문구," 2,631 "," 1,981 ", 282 , 183 , 28 , 1 , 142 , - , 14 
중랑구," 3,918 "," 3,282 ", 141 , 168 , 11 , 64 , 252 ,,
성북구," 4,611 "," 2,766 ", 432 , 236 , 378 , 555 , 226 , 18 , - 
강북구," 2,800 "," 2,138 ", 343 , 189 ,, 34 , 96 , - , - 
도봉구," 2,091 "," 1,266 ", 149 , 283 , 141 , 153 , 99 , - ,
노원구," 2,492 "," 1,341 ", 260 , 445 , 125 , 173 , 148 , - , - 
은평구," 4,478 "," 2,793 ", 749 , 467 ,, 209 , 167 ,, 93 
서대문구," 3,271 "," 2,060 ", 132 , 595 ,, 105 , 347 ,, 32 
마포구," 2,570 "," 2,073 ", 195 , 174 , - , - , 128 , - , - 
양천구," 3,650 "," 2,259 ", 821 , 313 ,,, 151 , 106 ,
강서구," 2,867 "," 2,249 ", 221 , 263 , 27 , - , 107 , - , - 
구로구," 4,608 "," 2,872 ", 538 , 403 , 29 , 230 , 387 ,, 149 
금천구," 2,631 "," 1,932 ", 272 , 243 , 46 , - , 138 , - , - 
영등포," 4,056 "," 3,048 ", 271 , 189 , - , 5 , 543 , - , - 
동작구," 2,331 "," 1,622 ", 395 , 162 , 19 , 79 , 54 , - , - 
관악구," 5,342 "," 2,849 ", 259 , 303 , 149 , 678 , 659 , - , 445 
서초구," 4,082 "," 2,993 ", 207 , 242 , - , 142 , 372 , - , 126 
강남구," 6,871 "," 4,839 ", 784 , 520 , - , 116 , 612 , - , - 
송파구," 3,019 "," 1,700 ", 320 , 601 , - , 104 , 294 , - ,
강동구," 2,874 "," 2,379 ", 232 , 174 ,,, 89 ,,
