year,gu,crimeName,oa,crimeNum,precinct
2001,강남구,"강간,추행",arrest,108,"['강남', '수서']"
2001,강남구,"강간,추행",occur,157,"['강남', '수서']"
2001,강남구,강도,arrest,151,"['강남', '수서']"
2001,강남구,강도,occur,217,"['강남', '수서']"
2001,강남구,살인,arrest,23,"['강남', '수서']"
2001,강남구,살인,occur,17,"['강남', '수서']"
2001,강남구,절도,arrest,1741,"['강남', '수서']"
2001,강남구,절도,occur,5320,"['강남', '수서']"
2001,강남구,폭력,arrest,6711,"['강남', '수서']"
2001,강남구,폭력,occur,7939,"['강남', '수서']"
2001,강동구,"강간,추행",arrest,59,['강동']
2001,강동구,"강간,추행",occur,59,['강동']
2001,강동구,강도,arrest,80,['강동']
2001,강동구,강도,occur,62,['강동']
2001,강동구,살인,arrest,11,['강동']
2001,강동구,살인,occur,9,['강동']
2001,강동구,절도,arrest,858,['강동']
2001,강동구,절도,occur,1713,['강동']
2001,강동구,폭력,arrest,3897,['강동']
2001,강동구,폭력,occur,4215,['강동']
2001,강북구,"강간,추행",arrest,46,['강북']
2001,강북구,"강간,추행",occur,53,['강북']
2001,강북구,강도,arrest,69,['강북']
2001,강북구,강도,occur,62,['강북']
2001,강북구,살인,arrest,4,['강북']
2001,강북구,살인,occur,6,['강북']
2001,강북구,절도,arrest,1032,['강북']
2001,강북구,절도,occur,1494,['강북']
2001,강북구,폭력,arrest,3357,['강북']
2001,강북구,폭력,occur,3625,['강북']
2001,강서구,"강간,추행",arrest,54,['강서']
2001,강서구,"강간,추행",occur,62,['강서']
2001,강서구,강도,arrest,48,['강서']
2001,강서구,강도,occur,78,['강서']
2001,강서구,살인,arrest,18,['강서']
2001,강서구,살인,occur,16,['강서']
2001,강서구,절도,arrest,800,['강서']
2001,강서구,절도,occur,2088,['강서']
2001,강서구,폭력,arrest,4185,['강서']
2001,강서구,폭력,occur,4733,['강서']
2001,관악구,"강간,추행",arrest,61,['관악']
2001,관악구,"강간,추행",occur,133,['관악']
2001,관악구,강도,arrest,37,['관악']
2001,관악구,강도,occur,63,['관악']
2001,관악구,살인,arrest,2,['관악']
2001,관악구,살인,occur,3,['관악']
2001,관악구,절도,arrest,777,['관악']
2001,관악구,절도,occur,2236,['관악']
2001,관악구,폭력,arrest,2897,['관악']
2001,관악구,폭력,occur,3200,['관악']
2001,광진구,"강간,추행",arrest,84,['광진']
2001,광진구,"강간,추행",occur,104,['광진']
2001,광진구,강도,arrest,93,['광진']
2001,광진구,강도,occur,125,['광진']
2001,광진구,살인,arrest,18,['광진']
2001,광진구,살인,occur,14,['광진']
2001,광진구,절도,arrest,1088,['광진']
2001,광진구,절도,occur,2389,['광진']
2001,광진구,폭력,arrest,4110,['광진']
2001,광진구,폭력,occur,4710,['광진']
2001,구로구,"강간,추행",arrest,45,['구로']
2001,구로구,"강간,추행",occur,67,['구로']
2001,구로구,강도,arrest,36,['구로']
2001,구로구,강도,occur,79,['구로']
2001,구로구,살인,arrest,5,['구로']
2001,구로구,살인,occur,4,['구로']
2001,구로구,절도,arrest,1010,['구로']
2001,구로구,절도,occur,2466,['구로']
2001,구로구,폭력,arrest,2891,['구로']
2001,구로구,폭력,occur,3457,['구로']
2001,금천구,"강간,추행",arrest,70,['금천']
2001,금천구,"강간,추행",occur,80,['금천']
2001,금천구,강도,arrest,69,['금천']
2001,금천구,강도,occur,93,['금천']
2001,금천구,살인,arrest,16,['금천']
2001,금천구,살인,occur,13,['금천']
2001,금천구,절도,arrest,941,['금천']
2001,금천구,절도,occur,2315,['금천']
2001,금천구,폭력,arrest,4273,['금천']
2001,금천구,폭력,occur,4914,['금천']
2001,노원구,"강간,추행",arrest,36,['노원']
2001,노원구,"강간,추행",occur,38,['노원']
2001,노원구,강도,arrest,30,['노원']
2001,노원구,강도,occur,25,['노원']
2001,노원구,살인,arrest,9,['노원']
2001,노원구,살인,occur,8,['노원']
2001,노원구,절도,arrest,573,['노원']
2001,노원구,절도,occur,954,['노원']
2001,노원구,폭력,arrest,2345,['노원']
2001,노원구,폭력,occur,2527,['노원']
2001,도봉구,"강간,추행",arrest,31,['도봉']
2001,도봉구,"강간,추행",occur,37,['도봉']
2001,도봉구,강도,arrest,17,['도봉']
2001,도봉구,강도,occur,33,['도봉']
2001,도봉구,살인,arrest,2,['도봉']
2001,도봉구,살인,occur,3,['도봉']
2001,도봉구,절도,arrest,743,['도봉']
2001,도봉구,절도,occur,1293,['도봉']
2001,도봉구,폭력,arrest,2866,['도봉']
2001,도봉구,폭력,occur,3115,['도봉']
2001,동대문구,"강간,추행",arrest,81,['동대문']
2001,동대문구,"강간,추행",occur,76,['동대문']
2001,동대문구,강도,arrest,33,['동대문']
2001,동대문구,강도,occur,48,['동대문']
2001,동대문구,살인,arrest,10,['동대문']
2001,동대문구,살인,occur,11,['동대문']
2001,동대문구,절도,arrest,790,['동대문']
2001,동대문구,절도,occur,1543,['동대문']
2001,동대문구,폭력,arrest,4169,['동대문']
2001,동대문구,폭력,occur,4390,['동대문']
2001,동작구,"강간,추행",arrest,64,['동작']
2001,동작구,"강간,추행",occur,76,['동작']
2001,동작구,강도,arrest,44,['동작']
2001,동작구,강도,occur,79,['동작']
2001,동작구,살인,arrest,6,['동작']
2001,동작구,살인,occur,5,['동작']
2001,동작구,절도,arrest,860,['동작']
2001,동작구,절도,occur,1484,['동작']
2001,동작구,폭력,arrest,2803,['동작']
2001,동작구,폭력,occur,3120,['동작']
2001,마포구,"강간,추행",arrest,53,['마포']
2001,마포구,"강간,추행",occur,73,['마포']
2001,마포구,강도,arrest,34,['마포']
2001,마포구,강도,occur,89,['마포']
2001,마포구,살인,arrest,3,['마포']
2001,마포구,살인,occur,3,['마포']
2001,마포구,절도,arrest,1902,['마포']
2001,마포구,절도,occur,3053,['마포']
2001,마포구,폭력,arrest,3532,['마포']
2001,마포구,폭력,occur,3912,['마포']
2001,서대문구,"강간,추행",arrest,47,['서대문']
2001,서대문구,"강간,추행",occur,69,['서대문']
2001,서대문구,강도,arrest,48,['서대문']
2001,서대문구,강도,occur,51,['서대문']
2001,서대문구,살인,arrest,3,['서대문']
2001,서대문구,살인,occur,2,['서대문']
2001,서대문구,절도,arrest,638,['서대문']
2001,서대문구,절도,occur,1065,['서대문']
2001,서대문구,폭력,arrest,2359,['서대문']
2001,서대문구,폭력,occur,2611,['서대문']
2001,서초구,"강간,추행",arrest,76,"['서초', '방배']"
2001,서초구,"강간,추행",occur,317,"['서초', '방배']"
2001,서초구,강도,arrest,102,"['서초', '방배']"
2001,서초구,강도,occur,196,"['서초', '방배']"
2001,서초구,살인,arrest,12,"['서초', '방배']"
2001,서초구,살인,occur,9,"['서초', '방배']"
2001,서초구,절도,arrest,1780,"['서초', '방배']"
2001,서초구,절도,occur,3697,"['서초', '방배']"
2001,서초구,폭력,arrest,4637,"['서초', '방배']"
